subject,day,week_num,day_in_week,phase,session,tl,performance,perf_int,nn_predicted,r2
subject6,1,0,1,pre,rest_day,0.0,,218.0,223.74655257335172,0.9383188016664472
subject6,2,0,2,pre,rest_day,0.0,,218.0,224.94325841136447,0.9383188016664472
subject6,3,0,3,pre,trial,100.0,218.0,218.0,225.47315995714865,0.9383188016664472
subject6,4,0,4,pre,trial,100.0,231.0,231.0,224.60692400027833,0.9383188016664472
subject6,5,0,5,pre,rest_day,0.0,,234.23011216821567,226.1085829353558,0.9383188016664472
subject6,6,0,6,pre,trial,100.0,233.0,233.0,227.39109281131078,0.9383188016664472
subject6,7,0,7,pre,rest_day,0.0,,231.74358801180603,229.4237346472959,0.9383188016664472
subject6,8,1,1,first,rest_day,0.0,,231.39184480448793,231.0240959408099,0.9383188016664472
subject6,9,1,2,first,4x5+trial,412.0689655,232.0,232.0,231.5252458555134,0.9383188016664472
subject6,10,1,3,first,rest_day,0.0,,233.58366770938005,234.25662794901405,0.9383188016664472
subject6,11,1,4,first,4x5+trial,437.2881356,236.0,236.0,234.52872005516633,0.9383188016664472
subject6,12,1,5,first,4x5+trial,441.4225941,239.0,239.0,236.07543345809972,0.9383188016664472
subject6,13,1,6,first,rest_day,0.0,,242.13308820069255,239.53605149829946,0.9383188016664472
subject6,14,1,7,first,rest_day,0.0,,245.1403559708116,241.33500081728792,0.9383188016664472
subject6,15,2,1,first,rest_day,0.0,,247.8274457555248,243.22640015743946,0.9383188016664472
subject6,16,2,2,first,4x5+trial,432.8,250.0,250.0,243.14719080088634,0.9383188016664472
subject6,17,2,3,first,rest_day,0.0,,251.44562878112086,247.40957589749178,0.9383188016664472
subject6,18,2,4,first,4x5+trial,328.0,,251.87981270263356,248.23924975122645,0.9383188016664472
subject6,19,2,5,first,4x5+trial,433.0677291,251.0,251.0,249.5565943266139,0.9383188016664472
subject6,20,2,6,first,rest_day,0.0,,248.7334866015378,255.1154602345158,0.9383188016664472
subject6,21,2,7,first,rest_day,0.0,,245.92695920698688,257.9144980278043,0.9383188016664472
subject6,22,3,1,first,rest_day,0.0,,243.6569522089425,260.59109493597117,0.9383188016664472
subject6,23,3,2,first,4x5+trial,442.3868313,243.0,243.0,261.56610316067486,0.9383188016664472
subject6,24,3,3,first,rest_day,0.0,,245.30371228277946,265.1946120128943,0.9383188016664472
subject6,25,3,4,first,4x5+trial,428.8537549,253.0,253.0,265.2317264220484,0.9383188016664472
subject6,26,3,5,first,rest_day,0.0,,266.7440685608129,268.1521884890725,0.9383188016664472
subject6,27,3,6,first,4x5+trial,399.6415771,279.0,279.0,267.46056743788074,0.9383188016664472
subject6,28,3,7,first,rest_day,0.0,,282.7025405643173,271.6658655550143,0.9383188016664472
subject6,29,4,1,first,rest_day,0.0,,280.8602167227876,274.0909589831117,0.9383188016664472
subject6,30,4,2,first,4x5+trial,399.6415771,279.0,279.0,274.2546535059027,0.9383188016664472
subject6,31,4,3,first,rest_day,0.0,,280.85714016941756,278.4300573246178,0.9383188016664472
